rowIDs,year,source,authors,title,n.citations,ECC
4204,1989,Behaviour,HHT Prins,Condition changes and choice of social environment in African buffalo bulls,71,71
4205,1989,Primates,"H Hayaki, MA Huffman, T Nishida","Dominance among male chimpanzees in the Mahale Mountains National Park, Tanzania: a preliminary study",89,89
4206,1989,Ethology,"M Apollonio, M Festaâ€Bianchet, F Mari",Effects of removal of successful males in a fallow deer lek,24,24
4207,1989,Animal Behaviour,S Nowicki,Vocal plasticity in captive black-capped chickadees: the acoustic basis and rate of call convergence,180,180
4208,1989,Journal of Zoology,NC Bennett,"The social structure and reproductive biology of the common moleâ€rat, Cryptomys h. hottentotus and remarks on the trends in reproduction and sociality in the family â€¦",93,93
4209,1989,Ecology,A Desrochers,"Sex, dominance, and microhabitat use in wintering blackâ€capped chickadees: a field experiment",125,125
4210,1989,â€¦ of the British Society of Animal â€¦,"EJ Hunter, SA Edwards, PH Simmins",Social activity and feeder use of a dynamic group of 40 sows using a sow-operated computerised feeder,5,5
4211,1989,American journal of â€¦,"SP Easley, AM Coelho Jrâ€¦","Allogrooming, partner choice, and dominance in male anubis baboons",16,16
4212,1989,The Journal of Animal Ecology,"CM Lessells, MI Avery",Hatching asynchrony in European bee-eaters Merops apiaster,97,97
4213,1989,Nippon Suisan Gakkaishi,Y Sasakawa,The interspecific dominance hierarchy for foraging in relation to hooked order for freshwater animals within mutual visual field under experimental â€¦,0,0
4214,1989,Animal behaviour,"M Hagedorn, R Zelick",Relative dominance among males is expressed in the electric organ discharge characteristics of a weakly electric fish,62,62
4215,1989,NA,JJ Piazza,"The Establishment of Corporeal Dominance Hierarchy in Juvenile Barbary Sheep (AMMOTRAGUS LERVIA) at the Hillcrest Park Zoo, Clovis, Curry County â€¦",0,0
4216,1989,NA,RI Wark,"Feminism and methodology: Edited by Sandra Harding Bloomington and Indianapolis: Indiana University Press, 1987, 193 pp., 10.95(paper), 29.95 (cloth)",1,1
4217,1989,Applied Animal Behaviour Science,MR Baxter,"Proceeding (Paper presented at the Winter Meeting of the Society for Veterinary Ethology, London, Great Britain, 30 November 1988)",0,0
4218,1989,â€¦ of Gender and â€¦,"LM Fedigan, L Fedigan",Gender and the Study of Primates,32,32
4219,1989,NA,JJ Ely,Agonism involving adult female macaques (Macaca mulatta): Statistical and substantive issues.,0,0
4220,1989,Australian Journal of Agricultural Research,"CM Sherwin, KG Johnson",Variability in shading behaviour of sheep,11,11
4221,1989,American Journal of Primatology,"B Smuts, N Nicolson",Reproduction in wild female olive baboons,145,145
4222,1989,Oikos,WB Worthen,Effects of resource density on mycophagous fly dispersal and community structure,27,27
4223,1989,Journal of Ethology,MJ Duchateau,Agonistic behaviours in colonies of the bumblebeeBombus terrestris,59,59
4224,1989,â€¦ Journal Student Behavioral Studies at the â€¦,AL ENGH,BEHAVIORAL AND HIERARCHICAL DEVELOPMENT IN A LITTER OF CAPTIVE WOLF PUPS,0,0
4225,1989,IEEE transactions on nuclear â€¦,"MA Shinaishin, NN Sorial",Order reduction of a complete PWR-plant model and optimal design of an overall plant observer,1,1
4226,1989,Trends in ecology & evolution,JE Strassmann,Altruism and relatedness at colony foundation in social insects,52,52
4227,1989,Journal of Human Evolution,FBM De Waal,Food sharing and reciprocal obligations among chimpanzees,517,517
4228,1989,Ibis,SF Eden,The social organization of nonâ€breeding Magpies Pica pica,24,24
4229,1989,Understanding Chimpanzees,T Nishida,FEMALE CHIMPANZEES,0,0
4230,1989,Ethoexperimental Approaches to the Study of Behavior,F FARABOLLINI,rabbits (jOryctolagus cuniculus),0,0
4231,1989,Animal behaviour,"JM Black, M Owen","Agonistic behaviour in barnacle goose flocks: assessment, investment and reproductive success",175,175
4232,1989,The Auk,J Lemel,Body-mass dependent fledging order in the great tit,50,50
4233,1989,American Midland Naturalist,"KJ Forand, RL Marchinton",Patterns of social grooming in adult white-tailed deer,17,17
4234,1989,Behaviour,"UW Huck, AC Gore, MX Armstrong, RD Lisk","Mate choice, mate guarding and other mating tactics in golden hamsters maintained under seminatural conditions",14,14
4235,1989,Life sciences,"WL Woolverton, NA Ator, PM Beardsley, ME Carroll",Effects of environmental conditions on the psychological well-being of primates: A review of the literature,107,107
4236,1989,Family process,"L Sloman, R Gardner, J Price",Biology of family systems and mood disorders,16,16
4237,1989,NA,"LT Winegar, K Renninger",Object Conflict and Sharing in the Preschool: Further Evidence for a Prior Possession Rule.,6,6
4238,1989,American Journal of Primatology,JB Silk,Reproductive synchrony in captive macaques,15,15
4239,1989,The Wilson Bulletin,"Y Turcotte, J BÃ©dard",Prolonged parental care and foraging of Greater Snow Goose juveniles,8,8
4240,1989,Animal Science,"A Stolba, DGM Wood-Gush",The behaviour of pigs in a semi-natural environment,555,555
4241,1989,Heredity,"RG Gillespie, BE Tabashnik","What makes a happy face? Determinants of colour pattern in the Hawaiian happy face spider Theridion grallator (Araneae, Theridiidae)",19,19
4242,1989,Sibling interaction across cultures,TS Weisner,Comparing sibling relationships across cultures,134,134
4243,1989,The Wilson Bulletin,"J Leak, SK Robinson",Notes on the social behavior and mating system of the Casqued Oropendola,13,13
4244,1989,The Journal of Animal Ecology,"EA Herrera, DW Macdonald",Resource utilization and territoriality in group-living capybaras (Hydrochoerus hydrochaeris),172,172
4245,1989,Ornis Scandinavica,"MS Dhindsa, PE Komers, DA Boag",The effect of familiarity with an environment on the dominance relationships between juvenile and adult Black-billed Magpies,7,7
4246,1989,NA,HGR King,Twelfth Northern Libraries Collooquy 5-9 June 1988,0,0
4247,1989,Journal of Zoology,CN Johnson,Social interactions and reproductive tactics in redâ€“necked wallabies (Macropus rufogriseus banksianus),22,22
4248,1989,Acta Amaz,LH Harper,The persistence of ant-following birds in small Amazonian forest fragments,79,79
4249,1989,The Journal of Animal Ecology,"L Wauters, AA Dhondt","Body weight, longevity and reproductive success in red squirrels (Sciurus vulgaris)",185,185
4250,1989,Trends in ecology & evolution,AH Harcourt,"Environment, competition and reproductive performance of female monkeys",35,35
4251,1989,Physiological â€¦,"L Keller, LUC Passeraâ€¦","Queen execution in the Argentine ant, Iridomyrmex humilis",122,122
4252,1989,Animal Behaviour,WJ Rowland,"The effects of body size, aggression and nuptial coloration on competition for territories in male threespine sticklebacks, Gasterosteus aculeatus",128,128
4253,1989,Animal Science,"JC Petherick, AW Beattie, DAV Bodero",The effect of group size on the performance of growing pigs,49,49
4254,1989,Heredity,RG Gillespie,Determinants of colour pattern in the Hawaiian happy face spider Theridion,5,5
4255,1989,Animal Behaviour,"ACK Hector, RM Seyfarth, MJ Raleigh","Male parental care, female choice and the effect of an audience in vervet monkeys",83,83
4256,1989,"â€¦ Institute of NIH, Held at the â€¦","R Apple, J Clarke, GG Cogswellâ€¦",The Causes and Consequences of,0,0
4257,1989,NA,JD Wilson,"Functions of agonistic interaction, social dominance and display in a winter population of the great tit, Parus major L.",2,2
4258,1989,Perspectives in Primate Biology â€¦,RW Sussman,behavioral morphotype for early strepsirhine. evolu,0,0
4259,1989,Applied Animal Behaviour Science,AKK BjÃ¶rk,Is social stress in pigs a detrimental factor to health and growth that can be avoided by amperozide treatment?,44,44
4260,1989,Applied Animal Behaviour Science,PR Wiepkema,"Proceeding (Paper presented at the Winter Meeting of the Society for Veterinary Ethology, London, Great Britain, 30 November 1988)",0,0
4261,1989,Applied Animal Behaviour Science,"LJ Rogers, L Workman",Light exposure during incubation affects competitive behaviour in domestic chicks,105,105
4262,1989,Irish Journal of Agricultural Research,"J O'Connell, PS Giller, W Meaney",A comparison of dairy cattle utilisation of Dutch Comfort and Newton Rigg cubicles in winter housing,6,6
4263,1989,Readings in managerial psychology,J Lipman-Blumen,Why the powerless do not revolt,2,2
4264,1989,â€¦ of the Marine Biological Association of the â€¦,"RC Brace, HA Reynolds","Relative intraspecific aggressiveness of pedal disc colour phenotypes of the beadlet anemone, Actinia equina",12,12
4265,1989,Biological Conservation,RL Burke,Florida gopher tortoise relocation: overview and case study,39,39
4266,1989,NA,LS Forbes,Environmental variability and genotypic conflicts during reproduction in families of Ospreys,5,5
4267,1989,NA,"D Radner, M Radner",Animal consciousness,111,111
4268,1989,Acta Theriologica,"DA Melton, NC Larter, CC Gatesâ€¦",The influence of rut and environmental factors on the behaviour of wood bison,25,25
4269,1989,"Fruit Flies: Their Biology, Natural Enemies â€¦",JL NATION,3.4. 5 The Role of Pheromones in the Mating System of Anastrepha Fruit,0,0
4270,1989,Animal Behaviour,JÃ… Nilsson,Establishment of juvenile marsh tits in winter flocks: an experimental study,53,53
4271,1989,American Journal of â€¦,"CP Van Schaik, WJ Nettoâ€¦",Social rank and sex ratio of captive longâ€tailed macaque females (Macaca fascicularis),38,38
4272,1989,The Biological Bulletin,"EB Karnofsky, J Atema, RH Elgin","Field Observations of Social Behavior, Shelter Use, and Foraging in the Lobster, Homarus americanus",200,200
4273,1989,NA,D Mixon,Obedience and civilization: Authorized crime and the normality of evil.,56,56
4274,1989,Social competence in developmental perspective,FF Strayer,Co-adaptation within the early peer group: A psychobiological study of social competence,95,95
4275,1989,Transactions of the American Fisheries â€¦,"MG Mesa, CB Schreck",Electrofishing markâ€“recapture and depletion methodologies evoke behavioral and physiological changes in cutthroat trout,226,226
4276,1989,Applied Animal Behaviour Science,"LJ Keeling, IJH Duncan",Inter-individual distances and orientation in laying hens housed in groups of three in two different-sized enclosures,63,63
4277,1989,Social Networks,DS Sade,Sociometrics of macaca mulatta III: N-path centrality in grooming networks,45,45
4278,1989,Immunology,"E Sercarz, A Oki, G Gammon","Central versus peripheral tolerance: clonal inactivation versus suppressor T cells, the second half of the'Thirty Years War'",11,11
4279,1989,Arch Gen Psychiatry,WB Originates,Hypercortisolism Among Socially Subordinate,0,0
4280,1989,æ—¥æœ¬æ°´ç”£å­¦ä¼šèªŒ,ç¬¹å·åº·é›„,æ·¡æ°´å‹•ç‰©ã®è¦–è¦šæŽ¡é¤Œå®Ÿé¨“ã«ãŠã‘ã‚‹ç¨®é–“é †ä½ãŠã‚ˆã³é‡£ç²é †åº,0,0
4281,1989,Oikos,"PA Keddy, B Shipley",Competitive hierarchies in herbaceous plant communities,319,319
4282,1989,Oecologia,"RB Bendel, SS Higgins, JE Teberg, DA Pyke","Comparison of skewness coefficient, coefficient of variation, and Gini coefficient as inequality measures within populations",207,207
4283,1989,The Condor,"RF Johnston, SG Johnson",Nonrandom mating in feral pigeons,46,46
4284,1989,Ibis,O HOGSTAD,Subordination in mixedâ€age bird flocksâ€“a removal study,35,35
4285,1989,European Journal of Personality,"DM Buss, KH Craik",On the crossâ€cultural examination of acts and dispositions,14,14
4286,1989,Perspectives in primate biology,"ATC Feistner, WC McGrew",Food-sharing in primates: a critical review,207,207
4287,1989,Zoological journal of the Linnean Society,CR JASLOW,Sexual dimorphism of cranial suture complexity in wild sheep (Ovis orientalis),34,34
4288,1989,"Carnivore behavior, ecology, and evolution",MGL Mills,The comparative behavioral ecology of hyenas: the importance of diet and food dispersion,100,100
4289,1989,American journal of â€¦,"DM Bowden, GL Brammerâ€¦","Relations among whole blood serotonin and sex, age, diet, and social status in Macaca nemestrina",3,3
4290,1989,Journal of Human Evolution,S Boinski,The positional behavior and substrate use of squirrel monkeys: ecological implications,122,122
4291,1989,Behavior genetics,AL Hughes,Interaction between strains in the social relations of inbred mice,15,15
4292,1989,The Journal of Animal Ecology,"CP Catterall, J Kikkawa, C Gray",Inter-related age-dependent patterns of ecology and behaviour in a population of Silvereyes (Aves: Zosteropidae),64,64
4293,1989,Abstract of Papers and Posters,JEC Flux,CONVENERS: Dr. Joseph A. Chapman Dr. JA Gibb and,0,0
4294,1989,Proboscis Monkey (Nasalis Larvatus) â€¦,CP Yeager,Proboscis Monkey (Nasalis larvatus) Social Organization: Intragroup Social Parameters,0,0
4295,1989,Functional Ecology,"H Richner, P Schneiter, H Stirnimann",Life-history consequences of growth rate depression: an experimental study on carrion crows (Corvus corone corone L.),107,107
4296,1989,Bulletin of the IUCN Otter Specialist Group,JS Shannon,Social organization and behavioral ontogeny of otters (Lutra canadensis) in a coastal habitat in northern California,24,24
4297,1989,Annual Review of Conflict Knowledge and Conflict â€¦,"BJ Krauss, H Krauss",Interpersonal conflict,3,3
4298,1989,The Wilson Bulletin,J Ekman,Ecology of non-breeding social systems of Parus,251,251
4299,1989,Behavior genetics,AJ Moore,Sexual selection in Nauphoeta cinerea: inherited mating preference?,38,38
4300,1989,Netherlands Journal of Sea â€¦,"MF Leopold, C Swennen, LLM De Bruijn","Experiments on selection of feeding site and food size in oystercatchers, Haematopus ostralegus, of different social status",15,15
4301,1989,What the philosophy of biology is,P Kitcher,Some puzzles about species,75,75
4302,1989,Canadian Journal of Zoology,"DK Mattila, PJ Clapham","Humpback whales, Megaptera novaeangliae, and other cetaceans on Virgin Bank and in the northern Leeward Islands, 1985 and 1986",79,79
4303,1989,Proceedings of the Royal Society of â€¦,NB Metcalfe,Differential response to a competitor by Atlantic salmon adopting alternative life-history strategies,25,25
4304,1989,Ethology,M Biben,Effects of social environment on play in squirrel monkeys: Resolving Harlequin's dilemma,31,31
4305,1989,Computers and the Humanities,MD Harris,Analysis of the discourse structure of lyric poetry,8,8
4306,1989,International journal of Primatology,"AP Ratnayeke, WPJ Dittus",Observation of a birth among wild toque macaques (Macaca sinica),21,21
4307,1989,NA,JA Westfall,"The ecology of reintroduced elk in Theodore Roosevelt National Park, North Dakota",5,5
4308,1989,Behaviour,"B Thierry, D Wunderlich, C Gueth",Possession and transfer of objects in a group of brown capuchins (Cebus apella),27,27
4309,1989,Pharmacology & â€¦,"JA Engel, P Egbe, S Liljequistâ€¦",Effects of amperozide in two animal models of anxiety,32,32
4310,1989,Journal of the Kansas Entomological Society,JE Strassmann,"Early termination of brood rearing in the social wasp, Polistes annularis (Hymenoptera: Vespidae)",27,27
4311,1989,Social Philosophy Today,JA Kourany,Science Sexist?,0,0
4312,1989,Animal Science,"M Rundgren, I LÃ¶fquist",Effects on performance and behaviour of mixing 20-kg pigs fed individually,61,61
4313,1989,Bird Study,"WJ Peach, JA Fowler",Movements of wing-tagged Starlings Sturnus vulgaris from an urban communal roost in winter,7,7
4314,1989,"Carnivore behavior, ecology, and evolution",M Bekoff,Behavioral development of terrestrial carnivores,67,67
4315,1989,NA,LJ Keeling,SOCIAL SPACING IN DOMESTIC FOWL.,6,6
4316,1989,American Midland Naturalist,"OT Gorman, RR Roth",Consequences of a temporally and spatially variable food supply for an unexploited gray squirrel (Sciurus carolinensis) population,36,36
4317,1989,Journal of apicultural research,"A van Doorn, A Chrambach",Retinue Behaviour in Bumblebee Workers (Bombus Terrestris L.),5,5
4318,1989,â€¦ Transactions of the Royal Society of London â€¦,BA Cross,Animal biotechnology,4,4
4319,1989,NA,NE Chadwick,Competitive behavior and spatial distribution in a community of temperate anthozoans.,4,4
4320,1989,Acta Theriologica,"X Lambin, V Bauchau",Contest competition between wood mice and bank voles: is there a winner,8,8
4321,1989,NA,DA Thoney,"Comparative ecology of the parasites of the spot, Leiostomus xanthurus Lacepede, and the Atlantic croaker, Micropogonias undulatus Linnaeus (Sciaenidae), in the â€¦",0,0
4322,1989,Visual Studies,"A Ehrentraut, B LÃ¼em",Visual ideology: Analysis of visual material,1,1
4323,1989,The journal of Ecology,"I Noy-Meir, M Gutman, Y Kaplan",Responses of Mediterranean grassland plants to grazing and protection,656,656
4324,1989,Acta Theriologica,"NL Krushinska, Z Pucek",Ethological study of sympatric species of European water shrews,16,16
4325,1989,Sociological Focus,J Sprague,The Structure of Political Thinking: A Multidimensional Model,4,4
4326,1989,Social Networks,"BD Chepko-Sade, KP Reitz, DS Sade",Sociometrics of Macaca Mulatta IV: Network analysis of social structure of a pre-fission group,31,31
4327,1989,Behavioral Ecology and Sociobiology,"JA Stamps, PK Eason",Relationships between spacing behavior and growth rates: a field study of lizard feeding territories,40,40
4328,1989,American Journal of Criminal Justice,"DK Sechrest, D Crim",Population density and assaults in jails for men and women,2,2
4329,1989,NA,JS Shannon,Social Organisation and Behavioural Ontogeny of Otters (Lutra canadensis) in a Coastal Habitat in,0,0
4330,1989,Ethology and Sociobiology,I Vine,The sociobiology of criminal behavior,0,0
4331,1989,Can. J. Fish. Aqnccat. Sci,C Rates,"Density Dependence in Spiny Lobster, Panulirus marginatus, in the Northwestern Hawaiian",0,0
4332,1989,International Zoo â€¦,"OA RYDER, LG CHEMNICKâ€¦",Individual DNA fingerprints from Galapagos tortoises Geochelone elephant opus,2,2
4333,1989,Actes Colloques des Insectes Sociaux,HHW Velthuis,The comparative study of sociality in the higher bees,2,2
4334,1989,Women's Studies International Forum,D Haraway,"Monkeys, aliens, and women: Love, science, and politics at the intersection of feminist theory and colonial discourse",27,27
4335,1989,NA,AJ Repak,Animal Watchâ€”Wolves (Explore-A-Science Series). Apple series,0,0
4336,1989,NA,BE Parks,Investigating Chemical Reactions. Apple series,0,0
4337,1989,Political behavior,"RD Masters, DG Sullivan",Nonverbal displays and political leadership in France and the United States,120,120
4338,1989,House Mouse Aggression. Chur â€¦,"G Valenti, M Mainardi",Aggressiveness in mice and thyroid hormones,0,0
4339,1989,Journal of comparative psychology,"RJ Blanchard, DC Blanchard",Antipredator defensive behaviors in a visible burrow system.,611,611
4340,1989,Behaviour,"D Maestripieri, S Scucchi",Seasonal changes in social relationships in an all-female rhesus monkey (Macaca mulatta) group,5,5
4341,1989,Oikos,"M Galloway, R Boonstra","Response of the eastern chipmunk, Tamias striatus, to sex ratio manipulations",4,4
4342,1989,Behaviour,FINTS STICKLEBACKS,PARTNER ATTACK INHIBITION IN THE SEXUALLY MONOMORPHIC BIPARENTAL CICHLID TILAPIA MARIAE,0,0
4343,1989,Colour Vision Deficiencies IX,TP Piantanida,Molecular Genetics of Human Color Vision,0,0
4344,1989,27th Aerospace Sciences Meeting,L PENWELL,Intergroup dynamics in teleconferencing-Some concerns about the interactions between space-based crews and earth-based support teams,0,0
4345,1989,Memory: Interdisciplinary approaches,TM Ostrom,Three catechisms for social memory,12,12
4346,1989,Parasitology today,AW Pike,Sea liceâ€”major pathogens of farmed Atlantic salmon,165,165
4347,1989,Canadian Journal of Fisheries and Aquatic â€¦,JJ Polovina,"Density Dependence in Spiny Lobster, Panulirus marginatus, in the Northwestern Hawaiian Islands",83,83
4348,1989,NA,SF Newton,Recruitment dynamics of a resident passerine: dippers Cinclus cinclus in Scotland,7,7
4349,1989,Journal of the American College of â€¦,"RT O'Keeffe, K Lifshitz",Nonhuman primates in neurotoxicity screening and neurobehavioral toxicity studies,16,16
4350,1989,Depression: an integrative â€¦,HMD GURLING,3 Evolutionary and molecular genetic approaches to manic depression,1,1
4351,1989,Oecologia,"N Tamura, F Hayashi, K Miyashita",Spacing and kinship in the Formosan squirrel living in different habitats,46,46
4352,1989,American Anthropologist,CA Robarchek,Primitive warfare and the ratomorphic image of mankind,50,50
4353,1989,Acta Geologica Polonica,J Trammer,Middle to upper Oxfordian sponges of the Polish Jura,60,60
4354,1989,"Plants under stress: biochemistry, physiology and â€¦",JP Grime,Whole-plant responses to stress in natural and agricultural systems,23,23
4355,1989,The American Naturalist,"RE Page Jr, DC Post, RA Metcalf","Satellite nests, early males, and plasticity of reproductive behavior in a paper wasp",38,38
4356,1989,"â€¦ . Hillsdale, NJ: Erlbaum","M Gunnar, S Mangelsdorf, R Kestenbaum, S Langâ€¦",Stress and coping in early development,9,9
4357,1989,Social competence in developmental perspective,T Daniels-Beirness,Measuring peer status in boys and girls: A problem of apples and oranges?,86,86
4358,1989,Zoo Biology,VD Thompson,Behavioral response of 12 ungulate species in captivity to the presence of humans,52,52
4359,1989,NA,DK Leeper,Seasonal changes in the agonistic behavior of the house sparrow Passer domesticus,0,0
4360,1989,NA,MA Du Plessis,Behavioural ecology of the redbilled woodhoopoe Phoeniculus purpureus in South Africa,18,18
4361,1989,Ibis,M ORELL,Population fluctuations and survival of Great tits Par us major dependent on food supplied by man in winter,83,83
4362,1989,Entomologia Experimentalis et â€¦,"MJ Duchateau, HHW Velthuis",Ovarian development and egg laying in workers of Bombus terrestris,149,149
4363,1989,NA,G Base,The eleventh hour,33,33
4364,1989,Behaviour,M DUCKLINGS,ALERT CALLS OF MALE RED-WINGED BLACKBIRDS: DO FEMALES LISTEN?,0,0
4365,1989,South African Journal of African Languages,JSM Khumalo,'Leftward ho!'in Zulu tonology,1,1
4366,1989,Insectes sociaux,J Kojima,Growth and survivorship of preemergence colonies ofRopalidia fasciata in relation to foundress group size in the subtropics (Hymenoptera: Vespidae),16,16
4367,1989,The Wilson Bulletin,"RH Wagner, C Safina",Relative contribution of the sexes to chick feeding in Roseate and Common Terns,27,27
4368,1989,NA,PN di Cavriglia,VII Convegno Parco Naturale di Cavriglia,0,0
4369,1989,International Journal of Comparative â€¦,"J Tooby, L Cosmides",Adaption versus phylogeny: The role of animal psychology in the study of human behavior,84,84
4370,1989,Behaviour,MH Ferkin,Adult-weanling recognition among captive meadow voles (Microtus pennsylvanicus),28,28
4371,1989,Behaviour,B SALMON,ON THE ACOUSTIC BASIS OF RECOGNITION OF THE MOTHER HEN BY THE CHICK IN THE DOMESTIC FOWL (GALLUS GALLUS),0,0
4372,1989,American Journal of Physical Anthropology,PJ Asquith,"Provisioning and the study of freeâ€ranging primates: History, effects, and prospects",132,132
4373,1989,Zoological Research,WBH Shunjing,A MICRO-QUANTITATIVE ANALYSIS OF TYPES OF RESIDUARY DIETS AMONG EXCREMENTS OF A GROUP OF RHINOPITHECUS BIETI IN SNOWING SEASON,5,5
4374,1989,NA,EA Still,"Socio-Ecology of Non-Breeding Choughs, Pyrrhocorax pyrrhocorax",0,0
4375,1989,Annals of the â€¦,"PF Kukuk, GC Eickwortâ€¦",Importance of the sting in the evolution of sociality in the Hymenoptera,41,41
4376,1989,"â€¦ : Bloomington, Minnesota, September 18, 19, 20 â€¦",RD Appleman,FEEDING AND MANAGEMENT SYSTEMS FOR DAIRY CATTLE IN EUROPE,0,0
4377,1989,Canadian Journal of Fisheries and Aquatic Sciences,JC Holm,Mono- and Duoculture of juvenile Atlantic Salmon (Salmo salar) and Arctic Char (Salvelinus alpinus),37,37
4378,1989,NA,S Sutherland,""". An abbreviation for ENTROPY. S Hull's abbreviation for HABIT",0,0
4379,1989,NA,MBP Ryan,The computational codification of the semantic aspects of style,4,4
4380,1989,Current anthropology,G Richards,Human behavioural evolution: a physiomorphic model,14,14
4381,1989,Ibis,RK Colwell,"Hummingbirds of the Juan FernÃ¡ndez Islands: natural history, evolution and population status",57,57
4382,1989,NA,D Hsu,A Processing Model for Redirection Clues in,0,0
4383,1989,NA,MBP Ryan,Technical Report csm-23 1 August 1989,0,0
4384,1989,Ibis,"H Higuchi, T Hirano","Breeding season, courtship behaviour, and territoriality of White and Japanese Wagtails Motacilla alba and M. grandis",13,13
4385,1989,Proceedings of the Royal Society of â€¦,TH Clutton-Brock,Review lecture: mammalian mating systems,1607,1607
4386,1989,Ethology,JM Trainer,Cultural evolution in song dialects of yellowâ€rumped caciques in Panama,77,77
4387,1989,The plight of crime victims in modern society,EE Flynn,Victims of terrorism: Dimensions of the victim experience,18,18
4388,1989,Australian Journal of Ecology,MW Ramsay,The seasonal abundance and foraging behaviour of honeyeaters and their potential role in the pollination of Banksia menziesii,44,44
4389,1989,Social Competence in Developmental â€¦,BH Schneider,Tina Daniels-Beirness Carleton University,0,0
4390,1989,Systems Research,RW White,Structural evolution in urban systems,3,3
4391,1989,NA,"BN Bunnell, WB Iturrian","Social Behavior, Prolactin and the Immune Response",0,0
4392,1989,Journal of veterinary pharmacology â€¦,"SC Kyriakis, G Andersson",Wasting pig syndrome (WPS) in weanersâ€”treatment with amperozide,24,24
4393,1989,NA,RD Masters,The nature of politics,465,465
4394,1989,NA,"K Immelmann, C Beer",A dictionary of ethology,197,197
4395,1989,Journal of Social and Biological Structures,LR Hiatt,On cuckoldry,6,6
4396,1989,NA,N Maingi,The association between biological characteristics and thiabendazole resistance in Haemonchus contortus,0,0
4397,1989,NA,TRINH CONTORTUS,Ndichu Maingi,0,0
4398,1989,NA,"LH Arita, KY Kaneshiro","Sexual selection and lek behavior in the Mediterranean fruit fly, Ceratitis capitata (Diptera: Tephritidae)",121,121
4399,1989,The Plight of Crime Victims in Modern Society,EE Flynn,Victim Experience,0,0
4400,1989,Journal of â€¦,"NJ Scott Jr, TC Maxwell, OW Thornton Jrâ€¦","Distribution, habitat, and future of Harter's water snake, Nerodia harteri, in Texas",35,35
4401,1989,Canadian Journal of Psychology/Revue â€¦,"RC Tees, K Buhrmann",Parallel perceptual/cognitive functions in humans and rats: Space and time.,8,8
4402,1989,"Carnivore behavior, ecology, and evolution",PD Moehlman,Intraspecific variation in canid social systems,215,215
4403,1989,ëŒ€í•œê°€ì •í•™íšŒì§€,"ì‹œì‚¬ë¥¼, ì§€ë‹Œë‹¤",ì£¼ê±°ê³µê°„ì— ìžˆì–´ì„œ ì˜ì—­ì„± í”„ë¼ì´ë²„ì‹œì™€ì•„ì´ë´í‹°í‹°ì— ê´€í•œ ì—°êµ¬,9,9
4404,1989,Applied Animal Behaviour Science,"HV Petersen, K Vestergaard, P Jensen",Integration of piglets into social groups of free-ranging domestic pigs,117,117
4405,1989,Handbook of research methods in cardiovascular â€¦,CM Kuhn,Adrenocortical and gonadal steroids in behavioral cardiovascular medicine,60,60
4406,1989,NA,PW Carey,Behavioural thermoregulation and polygyny in the New Zealand fur seal,6,6
4407,1989,NA,MRS Price,Animal reintroductions: the Arabian oryx in Oman,394,394
4408,1989,NA,S Sutherland,D. An abbreviation in Hull's system for 1. DRIVE; 2. DRIVESTRENGTH. 2-D. Two-dimensional. 3-D. Three-dimensional. d. Hull's symbol for the difference between,0,0
4409,1989,NA,AH Devor,Gender blending: Confronting the limits of duality,465,465
4410,1989,Animal models of depression,WT McKinney,Basis of development of animal models in psychiatry: an overview,27,27
4411,1989,Emu,"JCZ Woinarski, AJ Press, J Russellsmith","The bird community of a sandstone plateau monsoon forest at Kakadu National Park, Northern Territory",11,11
4412,1989,Ethology Ecology & Evolution,CB Urbani,"Phytogeny and behavioural evolution in ants, with a discussion of the role of behaviour in evolutionary processes",91,91
4413,1989,American Zoologist,AE Kammer,Reflections on Organisms: Examples from the Neurobiology of Insect Rhythmic Movements,0,0
4414,1989,NA,WB Pearce,Communication and the human condition,689,689
4415,1989,Zoo biology,"A Schreiber, B Matern",Genetic investigations and pedigree analysis in captive barbary sheep (Ammotragus lervia pallas 1777),4,4
4416,1989,NA,NA Mays,Hormonal correlates of reproductive behavior in the cooperatively breeding Harris' hawk (Parabuteo unicinctus),1,1
4417,1989,Crime and Justice,"RL Burgess, P Draper","The explanation of family violence: The role of biological, behavioral, and cultural selection",123,123
4418,1989,NA,M Anwar,Development of a management plan for grey goral: lessons from blackbuck and cheer pheasant reintroduction attempts,13,13
4419,1989,U. Toronto Fac. L. Rev.,J Freeman,Justifying Exclusion: A Feminist Analysis of the Conflict between Equality and Association Rights,7,7
4420,1989,Ethology,AM Gronell,"Visiting Behaviour by Females of the Sexually Dichromatic Damselfish, Chrysiptera cyanea (Teleostei: Pomacentridae): a Probable Method of Assessing Male Quality",96,96
4421,1989,Behavioral and Brain Sciences,IM Pepperberg,Tool use in birds: An avian monkey wrench?,9,9
4422,1989,Behavioral Sciences,"RS Krug, AR Cass",Psychopathology,0,0
4423,1989,Advances in behaviour research and therapy,S Fisher,The vulnerability of the depressed to life events: sadder and tougher,9,9
4424,1989,Oceanus,T Polacheck,Harbor porpoises and the gillnet fishery.,15,15
4425,1989,NA,MSS MI,Technical Report csm-zs 1 August 1989,0,0
4426,1989,NA,L Wang,Behavior and microhabitat competition of brown trout and greenback cutthroat trout in an artificial stream,4,4
4427,1989,Evolutionsprozesse im Tierreich,KP Sauer,Evolution und Konkurrenz,1,1
